StartDate,EndDate,ResponseId,Region,Coast,Gender,Age,Cause_CC,Cause_CC_binary,Q6_1_reverse,Q6_2,Q6_3,Q6_4_reverse,Q6_5,Climate,Q7.1,Q7.2,Q7.3,Q7.4,Q7.5,Q7.6,Q7.7,Q7.8,Q7.9,Q7_10,NET_intervention,NET_nature,Knowledge_sc,Knowledge_sc_number,Support_sc,Support_sc_word,Support_sc_binary,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Part1,Part2,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12.10,Risk1,Risk2,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13.10,Benefit,Support_sc2,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5_6,Q16_7,Q16_8,Q16_9,Q16.10,Q16_11_12,Trust1,Trust2,Trust3,Cluster_trust,Q17_1,Q17_2_reverse,Q17_3,Q17_4,Q17_5_6,Gov,Myth_benign,Myth_tolerant,Myth_ephemeral,Myth_capricious,Q19_1_reverse,Q19_2_reverse,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8_reverse,Q19_9,Q19.10,Nature_new,Nature_new_1,Nature,Nature_dualism,Nature1,Nature2_reverse,Nature2,Q20_1_reverse,Q20_1,Q20_2_reverse,Q20_2,Q20_3,Q20_4,Q20_5_reverse,Q20_5,Q20_6_7_reverse,Q20_6_7,Tech_new,Tech_new_1,Tech,Political,Political_word,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7_reverse,Q23_8_reverse,Q23_9_reverse,Q23_10_reverse,Q23_11_reverse,Q23_12_reverse,Com_ind,Egal_hier,Education,Education_number,Survey
44271.7088,44271.72406,R_2SGDu2GYSnSfF86,Province of British Columbia (Canada),No,Female,76,Caused equally by natural changes in the environment and human activities,Other,1,4,3,5,5,3.6,3,3,4,3,3,3,5,4,3,4,3.142857143,4.333333333,No,1,4,4_Support,1,A Solid Carbon project should be implemented right now with ongoing research and monitoring.,1,2,3,2,2,2,2,2,2,3,4,5,4,3,1,4,NA,4,3.5,3,2,2,3,5,5,3,3,4,4,3,3.4,3,3,4,5,4,3,4,5,4,3,4,4,4,4,Trustful,4,5,3,3,4,3.75,3,4,4,4,3,5,5,4,4,4,4,5,4,4,4.25,4.25,4.222222222,4.285714286,4.166666667,4.333333333,1.666666667,1,5,2,4,5,5,4,2,4,2,3.333333333,2.666666667,4,2,2_Liberal,2,4,3,1,1,3,3,2,4,2,3,2,3,2,Some college but no degree,3,Public
44269.71076,44269.80478,R_OpzKSRBz8a9kuw9,Washington state (USA),No,Male,38,Caused equally by natural changes in the environment and human activities,Other,5,5,5,5,4,4.8,2,5,5,3,5,3,4,5,2,5,3.571428571,4.666666667,No,1,3,3_Neither oppose nor support,0,A Solid Carbon project should be implemented right now with ongoing research and monitoring.,1,1,1,2,3,1,1,2,4,5,4,NA,5,5,3,5,3,3,4.6,3.5,3,4,5,3,2,3,3,3,4,4,3.4,3,2,2,2,1,1,1,4,1,2,5,1,2.333333333,2,Not trustful,2,5,1,1,1,2.25,2,2,1,2,4,1,5,5,1,5,4,5,5,5,4.375,4.375,3.888888889,4.142857143,4.166666667,3.333333333,2.666666667,1,5,2,4,2,3,2,4,4,2,4,3.333333333,2.6,1,1_Very liberal,5,2,5,1,3,5,4,4,1,2,3,2,3.5,2.666666667,Less than high school degree,1,Public
44268.75343,44268.76547,R_wOgNdi04h8yRpyp,Washington state (USA),No,Male,40,Caused mostly by human activities,Human,5,5,4,5,5,4.8,4,3,3,3,3,3,4,4,3,3,3.142857143,3.666666667,No,1,3,3_Neither oppose nor support,0,We need further research before being able to implement a Solid Carbon project.,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,3,3,4,3,3,3,3,3,3.333333333,3.666666667,Trust coallition,3,3,3,3,3,3,2,4,2,3,3,3,3,3,4,3,4,2,3,4,3.25,3.25,3.111111111,3,3.333333333,2.666666667,3.333333333,3,3,3,3,3,2,3,3,3,3,3,3,2.8,3,3_Neutral,3,2,3,4,3,4,3,3,3,2,2,3,2.833333333,3,Bachelor's degree,5,Public
44267.89816,44267.90793,R_Rf9hsDg4DOgFvA5,Washington state (USA),No,Male,22,Caused mostly by human activities,Human,5,5,4,5,5,4.8,4,4,4,2,4,2,5,5,4,4,3.428571429,4.666666667,No,1,4,4_Support,1,A Solid Carbon project should be implemented right now with ongoing research and monitoring.,2,1,1,3,3,2,1.333333333,2.666666667,2,3,5,4,3,5,3,5,3,5,3.666666667,4,3,4,4,4,5,4,4,4,3,2,3.7,NA,2,4,2,1,2,4,4,4,4,4,2.5,4,2.666666667,Trust coallition,2,2,2,2,1,2,2,4,4,4,5,5,4,3,4,5,5,5,2,4,4,4,4.222222222,4.142857143,3.833333333,5,1,1,5,3,3,4,2,3,3,2,4,2.666666667,3.333333333,2.8,3,3_Neutral,3,2,4,2,1,2,4,2,5,1,1,1,3.333333333,1.333333333,Some college but no degree,3,Public
44264.58008,44264.58848,R_1GxWANIZw5yJ36Q,Washington state (USA),No,Male,23,Caused equally by natural changes in the environment and human activities,Other,4,4,1,3,5,3.4,4,5,4,4,5,4,4,5,4,5,4.285714286,4.666666667,No,1,5,5_Strongly support,1,A Solid Carbon project should be implemented right now with ongoing research and monitoring.,1,1,1,2,1,1,1,1.333333333,4,5,3,4,5,5,1,3,2,5,4.333333333,2.75,2,4,4,5,5,5,5,4,4,4,4.2,3,2,5,3,2,4,4,5,4,3,NA,3,4,3.333333333,Trust coallition,2,3,2,3,5,2.5,4,5,3,4,3,4,4,5,4,5,3,5,4,5,4.375,4.375,4.111111111,4,4.166666667,4,2,3,3,5,1,5,2,5,1,3,3,1.666666667,1.666666667,4,2,2_Liberal,4,1,3,1,1,3,3,2,4,1,2,1,2.833333333,1.5,Bachelor's degree,5,Public
44263.95041,44263.97182,R_2uPBG9iWLzZcJD3,Washington state (USA),No,Male,61,Caused mostly by human activities,Human,5,5,4,5,5,4.8,4,3,3,2,4,2,4,4,2,4,2.857142857,4,No,1,4,4_Support,1,A Solid Carbon project should be implemented right now with ongoing research and monitoring.,2,1,2,3,3,2,1.666666667,2.666666667,3,3,4,5,3,5,2,4,3,4,3.833333333,3.25,NA,NA,1,2,1,4,2,3,1,4,2.25,3,3,2,3,2,1,2,3,3,3,4,2.5,2.666666667,2.666666667,Not trustful,2,3,2,2,2,2.25,3,4,4,2,4,2,4,3,4,4,4,3,3,3,3.5,3.5,3.444444444,3.285714286,3.666666667,3,3,3,3,4,2,3,4,3,3,4,2,3,2.333333333,3.6,2,2_Liberal,4,3,4,3,3,1,3,2,4,4,3,2,3.333333333,2.666666667,Less than high school degree,1,Public
44263.83517,44263.84189,R_pfJZA5aDxBJUYq5,Washington state (USA),No,Male,42,Caused mostly by human activities,Human,5,5,3,5,5,4.6,5,5,5,5,5,5,5,5,5,5,5,5,No,1,4,4_Support,1,We need further research before being able to implement a Solid Carbon project.,1,1,2,3,2,2,1.333333333,2.333333333,4,5,4,5,4,5,2,4,2,3,4.5,2.75,5,5,5,5,5,5,5,5,5,4,4.9,4,2,2,4,2,2,3,4,3,3,4,2.5,3.333333333,2.666666667,Trust coallition,3,4,2,3,2,3,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,3.666666667,3.571428571,4,3,3,2,4,4,2,4,4,4,2,4,2,2.666666667,2,4,2,2_Liberal,4,4,4,1,2,2,4,2,4,1,1,1,3.666666667,1.333333333,Some college but no degree,3,Public
44263.65973,44263.66676,R_2iu4M3xKqvkGLpn,Washington state (USA),NA,Male,21,Caused equally by natural changes in the environment and human activities,Other,4,4,3,4,4,3.8,4,NA,4,1,4,NA,5,4,2,5,3,4.666666667,No,1,NA,NA,NA,We need further research before being able to implement a Solid Carbon project.,1,2,2,3,2,1,1.666666667,2,3,4,4,5,2,5,2,4,3,2,3.833333333,2.75,3,3,1,2,3,3,3,4,1,1,2.4,3,2,2,2,1,2,4,4,3,4,3,2,4,2,Trust coallition,2,2,3,4,5,2.75,3,5,5,4,2,4,4,2,5,3,1,5,1,4,3.125,3.125,3,2.714285714,2.666666667,3.666666667,2.333333333,4,2,3,3,4,4,5,1,4,2,2.666666667,2,4,NA,NA,4,3,5,1,1,1,5,3,5,1,1,1,4.166666667,1,High school diploma or equivalent including GED,2,Public
44262.44606,44262.45253,R_22srMmyKX8tydW8,Washington state (USA),No,Male,52,Caused mostly by human activities,Human,2,4,4,1,3,2.8,4,5,4,2,5,5,4,4,4,4,4.142857143,4,"Yes, but I don't really know what it is",2,5,5_Strongly support,1,A Solid Carbon project should be implemented right now with ongoing research and monitoring.,5,4,4,4,5,4,4.333333333,4.333333333,5,4,4,5,5,5,4,4,4,5,4.666666667,4.25,5,4,4,5,4,5,4,4,5,5,4.5,4,4,5,5,4,5,5,4,4,4,5,4,4.333333333,4.666666667,Trustful,5,1,4,4,4,3.5,5,4,5,4,1,2,4,5,5,4,3,2,5,4,4,4,3.444444444,3.142857143,4.333333333,1.666666667,4.333333333,1,5,2,4,4,5,2,4,1,5,3,4.333333333,2.8,5,5_Very conservative,4,5,5,5,4,5,1,1,1,2,1,3,2.833333333,3.333333333,Master's degree,6,Public
44262.37691,44262.38809,R_3qxO6GOVuCOseUJ,Washington state (USA),No,Male,75,Caused mostly by human activities,Human,4,3,2,3,3,3,5,4,4,3,4,3,5,5,4,4,3.857142857,4.666666667,"Yes, but I don't really know what it is",2,4,4_Support,1,We need further research before being able to implement a Solid Carbon project.,2,2,2,3,3,3,2,3,3,4,4,4,4,4,4,3,4,4,3.833333333,3.75,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,2,3,2,2,3,2,2.333333333,2.333333333,Not trustful,2,2,2,2,2,2,2,4,4,2,3,4,4,3,4,4,4,3,4,3,3.625,3.625,3.666666667,3.571428571,3.833333333,3.333333333,2.666666667,2,4,4,2,3,3,4,2,4,2,2.666666667,2,3.6,4,4_Convervative,4,2,4,4,2,5,4,4,4,3,4,3,3.666666667,3.5,Master's degree,6,Public
